
78310. Place: Zamość, Year: 1748  
168687. Place: Gdańsk, Year: 1656
127137. Place: Leszno, Year: 1640
141074. Place: Zamość, Year: 1696
125801. Place: -, Year: 1793
164455. Place: -, Year: -
33696. Place: Gdańsk, Year: 1866
96695. Place: Leszno, Year: 1864
1160. Place: -, Year: -
194717. Place: -, Year: -
127805. Place: Toruń, Year: 1700
91783. Place: -, Year: -
58942. Place: Rostock, Year: 1661
206835. Place: -, Year: -
94749. Place: Jelenia Góra, Year: 1887
183222. Place: -, Year: 1778
117455. Place: -, Year: -
99395. Place: Lwów, Year: 1881
25322. Place: Warszawa, Year: -
92373. Place: Brzeg, Year: 1850
152423. Place: Amsterdam, Year: 1738
131868. Place: -, Year: -
195169. Place: -, Year: -
193425. Place: -, Year: 1656
188345. Place: Mitaviae, Year: 1742
78413. Place: -, Year: -
34775. Place: -, Year: -
110674. Place: -, Year: 1752
166755. Place: Warszawa, Year: 1790
185861. Place: Wilno, Year: 1759
2888. Place: Kraków, Year: 1610
44552. Place: Paryż, Year: 1858
131763. Place: -, Year: -
133295. Place: -, Year: 1734
186998. Place: -, Year: -
64508. Place: -, Year: -
62280. Place: Kraków, Year: 1893
116379. Place: Rzym, Year: 1749
151274. Place: Londyn, Year: 1776
174559. Place: -, Year: 1712
194915. Place: -, Year: -
22243. Place: Lwów, Year: 1890
165431. Place: -, Year: -
128075. Place: Toruń, Year: 1699
185678. Place: -, Year: -
50755. Place: -, Year: -
90314. Place: Wadowice, Year: -
78182. Place: Lille, Year: 1851
45263. Place: Mainz, Year: 1869
217541. Place: Gdańsk, Year: 1725
166833. Place: -, Year: -
172498. Place: -, Year: -
155768. Place: Kraków, Year: 1618
2425. Place: Królewiec, Year: 1642
5012. Place: Warszawa, Year: 1870
141676. Place: Zamość, Year: -
216081. Place: -, Year: -
78991. Place: -, Year: -
30626. Place: Morowa, Year: -
128905. Place: -, Year: -
105241. Place: Wiedeń, Year: 1871
23935. Place: Krotoszyn, Year: 1848
22832. Place: Kraków, Year: 1899
128447. Place: Kraków, Year: 1645
40500. Place: Lwów, Year: 1865
213422. Place: -, Year: 1791
65798. Place: -, Year: -
169087. Place: -, Year: 1765
46829. Place: -, Year: -
27942. Place: -, Year: -
223124. Place: -, Year: -
74086. Place: Warszawa, Year: 1877
220196. Place: -, Year: -
193515. Place: -, Year: -
169774. Place: Kamschatka, Year: 1797
176412. Place: -, Year: -
113895. Place: -, Year: -
78197. Place: -, Year: -
192216. Place: -, Year: -
156430. Place: -, Year: 1727
61360. Place: Ełk, Year: 1873
190649. Place: Leiden, Year: 1687
14388. Place: Warszawa, Year: 1895
21877. Place: Elbląg, Year: 1636
109057. Place: Warszawa, Year: 1895
128755. Place: -, Year: -
60198. Place: Kraków, Year: 1615
179693. Place: Gdańsk, Year: 1649
108965. Place: Warszawa, Year: 1866
97105. Place: -, Year: -
11557. Place: -, Year: -
162894. Place: -, Year: -
81512. Place: Poznań, Year: 1874
48953. Place: -, Year: -
215707. Place: -, Year: -
129704. Place: -, Year: -
31316. Place: -, Year: -
58992. Place: -, Year: -
74877. Place: Warszawa, Year: 1827
185138. Place: -, Year: 1794
58047. Place: -, Year: -
144618. Place: -, Year: 1794
177587. Place: -, Year: -
5325. Place: Wiedeń, Year: 1890
65716. Place: -, Year: -
217599. Place: -, Year: 1775
27797. Place: -, Year: -
223175. Place: -, Year: -
215643. Place: Gdańsk, Year: 1715
178208. Place: -, Year: -
90094. Place: Warszawa, Year: 1871
151445. Place: -, Year: 1557
81707. Place: Warszawa, Year: 1889
187301. Place: -, Year: -
138928. Place: -, Year: -
58658. Place: -, Year: -
60820. Place: Kraków, Year: 1848
115387. Place: -, Year: -
132944. Place: Frankfurt, Year: -
138522. Place: -, Year: -
12750. Place: Lwów, Year: 1848
104852. Place: Tarnów, Year: 1900
32992. Place: Warszawa, Year: 1890
59741. Place: -, Year: -
114006. Place: -, Year: -
213871. Place: Kraków, Year: 1617
198779. Place: -, Year: -
5699. Place: Paryż, Year: 1876
206396. Place: Wiedeń, Year: 1770
77729. Place: -, Year: -
106244. Place: Warszawa, Year: -
89575. Place: -, Year: -
3586. Place: -, Year: -
116282. Place: -, Year: -
62193. Place: Poznań, Year: 1888
147230. Place: Lwów, Year: 1763
144957. Place: -, Year: 1764
209053. Place: -, Year: -
25698. Place: -, Year: -
195232. Place: -, Year: -
214707. Place: Wiedeń, Year: 1772
9589. Place: Paryż, Year: 1864
75219. Place: Kraków, Year: 1621
30905. Place: -, Year: -
75476. Place: -, Year: -
49043. Place: -, Year: 1863
87869. Place: Warszawa, Year: 1851
92156. Place: Wrocław, Year: -
179129. Place: Warszawa, Year: 1773
194413. Place: Królewiec, Year: 1552
89636. Place: -, Year: -
127639. Place: Wiedeń, Year: -
25335. Place: Warszawa, Year: -
221223. Place: -, Year: -
2464. Place: Królewiec, Year: 1648
82625. Place: Pelplin, Year: 1889
78032. Place: -, Year: -
127982. Place: Holandia, Year: 1701
25102. Place: Kraków, Year: 1862
119183. Place: Przemyśl, Year: 1760
59407. Place: Paryż, Year: 1815
88958. Place: Leszno, Year: 1863
105653. Place: Złoczów, Year: -
61918. Place: Kraków, Year: 1890
177044. Place: -, Year: -
59705. Place: -, Year: -
18668. Place: Gdańsk, Year: 1659
1890. Place: Wilno, Year: 1863
94623. Place: -, Year: -
57717. Place: -, Year: 1667
159455. Place: -, Year: -
160920. Place: Gdańsk, Year: 1654
175105. Place: -, Year: -
19926. Place: Królewiec, Year: 1882
36119. Place: -, Year: -
46434. Place: -, Year: -
129250. Place: Kraków, Year: 1706
59566. Place: -, Year: -
86065. Place: Lwów, Year: -
164302. Place: -, Year: -
83072. Place: -, Year: -
221667. Place: Kraków, Year: 1582
19436. Place: Kraków, Year: 1881
118091. Place: Sandomierz, Year: 1770
91395. Place: Berdyczów, Year: 1765
53432. Place: -, Year: -
91570. Place: -, Year: -
223346. Place: -, Year: -
218414. Place: Gdańsk, Year: 1655
50993. Place: Toruń, Year: 1807
206347. Place: -, Year: 1782
119334. Place: Frankfurt, Year: 1740
178604. Place: -, Year: -
98572. Place: -, Year: -
145960. Place: -, Year: 1793
41781. Place: Warszawa, Year: 1891
2318. Place: Lublin, Year: 1778  
30355. Place: -, Year: -  
76415. Place: -, Year: -  
62056. Place: -, Year: -  
54110. Place: -, Year: -  
179034. Place: Warszawa, Year: 1773  
38145. Place: -, Year: -  
66101. Place: -, Year: -  
220793. Place: -, Year: -  
168689. Place: Gdańsk, Year: 1639  
214220. Place: -, Year: 1794  
200164. Place: -, Year: -  
4107. Place: -, Year: -  
171488. Place: -, Year: -  
86324. Place: Poznań, Year: -  
3075. Place: -, Year: 1808  
116857. Place: Gdańsk, Year: -  
25180. Place: Warszawa, Year: 1893  
150593. Place: -, Year: -  
107966. Place: -, Year: -  
153530. Place: Kraków, Year: 1683  
179995. Place: Kraków, Year: 1640  
91683. Place: -, Year: 1684  
198589. Place: -, Year: 1790  
841. Place: Paryż, Year: 1863  
72540. Place: -, Year: -  
109175. Place: -, Year: 1667  
128833. Place: Kalisz, Year: 1735  
109767. Place: Warszawa, Year: 1763  
196318. Place: -, Year: -  
129401. Place: -, Year: -  
142543. Place: Londyn, Year: 1639  
63906. Place: -, Year: -  
34068. Place: -, Year: -  
153905. Place: -, Year: -  
43136. Place: Petersburg, Year: 1886  
45479. Place: -, Year: -  
18885. Place: Lwów, Year: -  
159974. Place: Kraków, Year: 1689  
115929. Place: Lyon, Year: 1578  
125508. Place: Toruń, Year: 1681  
176447. Place: Lublin, Year: 1724  
144810. Place: Kijów, Year: 1658  
155407. Place: -, Year: -  
64544. Place: Livorno, Year: 1874  
22132. Place: Zamość, Year: 1646  
138300. Place: Warszawa, Year: -  
39356. Place: Lwów, Year: 1898  
91988. Place: Frankfurt, Year: 1657  
42931. Place: -, Year: -
160049. Place: -, Year: -
102654. Place: Wrocław, Year: 1835
92009. Place: Wrocław, Year: 1884
13443. Place: Lwów, Year: 1889
44791. Place: Gdańsk, Year: 1612
182939. Place: -, Year: -
4331. Place: Lwów, Year: 1887
195506. Place: -, Year: -
188458. Place: Wrocław, Year: 1750
58699. Place: -, Year: 1495
11854. Place: Warszawa, Year: 1890
174226. Place: Poznań, Year: 1758
17553. Place: Kalisz, Year: 1769
97059. Place: Lwów, Year: 1885
113305. Place: -, Year: -
217781. Place: -, Year: -
221087. Place: -, Year: -
118739. Place: -, Year: -
211099. Place: -, Year: 1633
62833. Place: Kraków, Year: 1883
215542. Place: Warszawa, Year: 1652
186084. Place: -, Year: 1683
78465. Place: Kraków, Year: 1821
48302. Place: Kalisz, Year: 1755
168306. Place: -, Year: -
212160. Place: Wilno, Year: 1644
105530. Place: Wadowice, Year: 1850
92453. Place: Lwów, Year: 1891
39956. Place: Wilno, Year: 1815
61538. Place: -, Year: 1645
38620. Place: Gdańsk, Year: 1884
93753. Place: Wrocław, Year: 1848
54952. Place: -, Year: -
9726. Place: -, Year: 1771
114316. Place: -, Year: -
2819. Place: -, Year: 1771
3510. Place: Poznań, Year: 1879
3790. Place: Warszawa, Year: 1818
73632. Place: -, Year: -
85623. Place: -, Year: -
124913. Place: Pińczów, Year: 1558
149779. Place: -, Year: 1636
142081. Place: -, Year: 1653
124769. Place: -, Year: -
88258. Place: -, Year: -
194462. Place: Toruń, Year: 1591
77684. Place: Szczecin, Year: 1748
41497. Place: Lwów, Year: 1879
151585. Place: Kraków, Year: 1738
189748. Place: Lublin, Year: 1656
221607. Place: -, Year: 1771
203867. Place: -, Year: 1725
99213. Place: Montpellier, Year: -
208741. Place: -, Year: -
131986. Place: Warszawa, Year: 1792
58509. Place: -, Year: -
166284. Place: Warszawa, Year: 1783
618. Place: Królewiec, Year: 1650
67550. Place: Warszawa, Year: 1885
113944. Place: Wilno, Year: 1848
90700. Place: -, Year: -
44675. Place: -, Year: -
61527. Place: -, Year: 1683
88928. Place: -, Year: -
213381. Place: -, Year: -
170316. Place: -, Year: -
97291. Place: Kraków, Year: 1850
102151. Place: -, Year: -
164866. Place: Wilno, Year: 1589
138188. Place: -, Year: -
190087. Place: -, Year: -
18495. Place: Rostok, Year: 1697
217155. Place: -, Year: -
88227. Place: Lwów, Year: 1753
184929. Place: -, Year: -
33969. Place: Kraków, Year: 1836
205356. Place: -, Year: -
140178. Place: Toruń, Year: 1712
207309. Place: -, Year: 1763
88215. Place: Warszawa, Year: 1783
212663. Place: Toruń, Year: 1669
205792. Place: -, Year: -
219656. Place: Treviso, Year: 1684
70072. Place: Leipzig, Year: 1900
6606. Place: Strasburg, Year: 1894
102763. Place: -, Year: -
17147. Place: -, Year: -
46811. Place: -, Year: -
202121. Place: Altenburg, Year: 1609
5851. Place: Lwów, Year: 1892
83336. Place: Kraków, Year: 1899
33227. Place: Montpellier, Year: 1834
38673. Place: -, Year: -
38463. Place: -, Year: 1854
7158. Place: Lwów, Year: 1883
187691. Place: -, Year: 1725
145002. Place: -, Year: -
161102. Place: Warszawa, Year: 1780
93272. Place: Warszawa, Year: 1893
77759. Place: -, Year: -
82133. Place: -, Year: -
146710. Place: Augsburg, Year: 1752
61348. Place: -, Year: -
50711. Place: Drezno, Year: 1706
110165. Place: -, Year: -
69485. Place: -, Year: -
22344. Place: -, Year: -
51440. Place: Wiedeń, Year: 1817
190825. Place: -, Year: 1791
195138. Place: -, Year: -
42219. Place: -, Year: -
115394. Place: -, Year: -
206622. Place: -, Year: 1793
55526. Place: -, Year: -
100938. Place: Praga, Year: 1893
13735. Place: -, Year: -
209255. Place: Leipzig, Year: 1516
203330. Place: Ingolstadt, Year: 1615
30530. Place: -, Year: -
161297. Place: -, Year: 1761
100541. Place: -, Year: -
84570. Place: Lwów, Year: -
22879. Place: -, Year: -
58458. Place: -, Year: 1857
39780. Place: -, Year: -
106897. Place: Kijów, Year: 1847
222213. Place: -, Year: -
109254. Place: Lublin, Year: 1655
79172. Place: Kraków, Year: 1717
174749. Place: -, Year: -
71791. Place: Warszawa, Year: 1898
90006. Place: Warszawa, Year: 1881
41783. Place: Warszawa, Year: 1899
29804. Place: -, Year: -
48763. Place: -, Year: -
186143. Place: -, Year: -
64005. Place: -, Year: -
55848. Place: -, Year: -
88114. Place: Kraków, Year: -
198391. Place: -, Year: -
67537. Place: -, Year: -
160068. Place: -, Year: -
80329. Place: Kraków, Year: 1881
179939. Place: Warszawa, Year: 1742
13071. Place: Wilno, Year: 1859
76163. Place: -, Year: -
16956. Place: -, Year: -
103740. Place: Kętrzyn, Year: 1880
194668. Place: -, Year: -
79937. Place: -, Year: -
34521. Place: Wiedeń, Year: 1863
47442. Place: -, Year: -
78313. Place: Zamość, Year: 1751
56671. Place: -, Year: -
30047. Place: -, Year: -
153163. Place: -, Year: -
91054. Place: Częstochowa, Year: 1730
185243. Place: -, Year: 1788
154885. Place: Wenecja, Year: -
113448. Place: -, Year: -
60995. Place: Warszawa, Year: 1831
7006. Place: Kielce, Year: 1875
98742. Place: -, Year: -
177591. Place: -, Year: -
170792. Place: Głogów, Year: 1719
90329. Place: Lwów, Year: 1892
57833. Place: -, Year: -
85712. Place: Warszawa, Year: 1868
222136. Place: -, Year: -
199936. Place: Kielce, Year: 1725
133074. Place: -, Year: -
158789. Place: -, Year: -
24624. Place: -, Year: -
4391. Place: Warszawa, Year: 1881
179398. Place: Berdyczów, Year: 1781
64743. Place: -, Year: 1867
40887. Place: Lwów, Year: 1874
211774. Place: -, Year: 1777
50355. Place: -, Year: 1644
212029. Place: -, Year: -
218110. Place: Gdańsk, Year: 1660
112952. Place: Lwów, Year: 1884
190938. Place: Ratyz, Year: 1681
53532. Place: -, Year: -
79189. Place: -, Year: -
114416. Place: -, Year: -
80010. Place: -, Year: 1804
39383. Place: -, Year: -
39324. Place: Kolomyja, Year: 1873
133304. Place: Ostrog, Year: 1588
163921. Place: Nysa, Year: 1671
16450. Place: Kraków, Year: 1897
213762. Place: -, Year: -
142806. Place: Warszawa, Year: 1775
3651. Place: -, Year: -
1514. Place: Lwów, Year: 1884
48212. Place: Toruń, Year: 1657
130976. Place: Berdyczów, Year: 1761
48869. Place: -, Year: -
65428. Place: Kraków, Year: 1854
102183. Place: -, Year: -
95464. Place: Grodno, Year: 1891
188410. Place: Wilno, Year: 1771
17170. Place: -, Year: -
108091. Place: -, Year: -
23676. Place: Kraków, Year: 1897
58714. Place: -, Year: 1503
156639. Place: -, Year: -
191257. Place: -, Year: -
133039. Place: -, Year: -
17180. Place: Gdańsk, Year: 1793
218088. Place: -, Year: -
105060. Place: Gdańsk, Year: 1862
50267. Place: Greifswald, Year: 1816
146337. Place: -, Year: -
29067. Place: -, Year: -
107471. Place: Kraków, Year: 1882
50787. Place: -, Year: 1784
69461. Place: Warszawa, Year: 1873
17173. Place: -, Year: -
141422. Place: Poznań, Year: 1703
198012. Place: -, Year: -
197567. Place: Kraków, Year: 1732
156157. Place: Kraków, Year: 1615
60427. Place: -, Year: 1644
19534. Place: Cleveland, Year: 1891
106576. Place: Lwów, Year: 1892
47280. Place: Paris, Year: 1840
104358. Place: -, Year: -
150804. Place: Poznań, Year: 1735
110462. Place: -, Year: -
92324. Place: -, Year: -
161761. Place: -, Year: 1728
47094. Place: -, Year: -
116270. Place: -, Year: -
139524. Place: -, Year: -
113517. Place: -, Year: -
8259. Place: Lwów, Year: 1878
187705. Place: Gdańsk, Year: 1693
73708. Place: Tarnopol, Year: 1886
49886. Place: Paris, Year: 1893
108045. Place: -, Year: -
215972. Place: -, Year: -
164407. Place: -, Year: -
19262. Place: Kraków, Year: 1872
200244. Place: Toruń, Year: 1638
49189. Place: Kraków, Year: 1888
1873. Place: -, Year: -
28628. Place: -, Year: -
173748. Place: -, Year: 1625
221949. Place: -, Year: -
2206. Place: Kraków, Year: 1858
26235. Place: Warszawa, Year: 1885
92161. Place: Chocymie, Year: 1782
166311. Place: -, Year: -
40137. Place: Warszawa, Year: 1817
69717. Place: Kraków, Year: -
44466. Place: -, Year: -
47938. Place: Warszawa, Year: 1887
29993. Place: -, Year: -
29182. Place: -, Year: -
211168. Place: Kraków, Year: 1608
212270. Place: Kraków, Year: 1608
99249. Place: -, Year: -
55303. Place: -, Year: -
103985. Place: -, Year: -
170077. Place: Wrocław, Year: -
19102. Place: Kraków, Year: -
181365. Place: Warszawa, Year: -
143086. Place: -, Year: -
22042. Place: -, Year: -
46916. Place: Wilno, Year: 1874
44409. Place: Warszawa, Year: 1791
66396. Place: Kraków, Year: 1843
46042. Place: Kraków, Year: 1788
16732. Place: Leopoli, Year: 1855
215240. Place: -, Year: -
9429. Place: Kraków, Year: 1888
183819. Place: Kraków, Year: -
193955. Place: Berlin, Year: 1650
51076. Place: -, Year: -
203247. Place: -, Year: 1755
187963. Place: -, Year: -
70322. Place: -, Year: -
788. Place: Elbląg, Year: 1681
211822. Place: -, Year: -
167400. Place: -, Year: -
203756. Place: Toruń, Year: -
85315. Place: Kraków, Year: 1830
55232. Place: -, Year: -
156361. Place: Wilno, Year: 1784
174929. Place: Kraków, Year: 1513
199847. Place: -, Year: -
65036. Place: -, Year: -
75623. Place: Warszawa, Year: 1900
189972. Place: Wilno, Year: 1747
2463. Place: Królewiec, Year: 1647
116858. Place: Toruń, Year: 1693
199535. Place: -, Year: -
65139. Place: Wrocław, Year: 1823
133835. Place: Lwów, Year: 1793  
69983. Place: Praga, Year: 1851  
6589. Place: Warszawa, Year: 1818  
41623. Place: Racibórz, Year: 1900  
111778. Place: -, Year: 1673  
91153. Place: -, Year: -  
21067. Place: Kraków, Year: 1821  
111902. Place: -, Year: -  
88462. Place: Kraków, Year: 1798  
78263. Place: -, Year: -  
209247. Place: -, Year: -  
211377. Place: -, Year: -  
41898. Place: Warszawa, Year: 1893  
186943. Place: -, Year: -  
45551. Place: -, Year: 1746  
41470. Place: -, Year: -  
113454. Place: Lwów, Year: 1872  
18391. Place: -, Year: -  
91558. Place: -, Year: 1791  
529. Place: Wiedeń, Year: 1896  
66494. Place: -, Year: -  
209435. Place: -, Year: -  
52153. Place: -, Year: -  
142713. Place: -, Year: 1794  
108129. Place: -, Year: -  
174584. Place: Poznań, Year: 1622  
189493. Place: Warszawa, Year: 1735  
44799. Place: -, Year: -  
206030. Place: -, Year: 1790  
59327. Place: -, Year: -  
98353. Place: Paryż, Year: -  
45133. Place: -, Year: -  
142833. Place: Warszawa, Year: 1777  
181349. Place: Warszawa, Year: 1757  
100912. Place: Kraków, Year: 1890  
203438. Place: Poznań, Year: 1761  
169671. Place: -, Year: 1733  
49340. Place: -, Year: -  
216966. Place: -, Year: -  
12821. Place: -, Year: -  
22647. Place: -, Year: -  
187556. Place: -, Year: -  
21938. Place: Kraków, Year: 1611  
1557. Place: Supraśl, Year: 1714  
69188. Place: -, Year: -  
33460. Place: Warszawa, Year: 1900  
113753. Place: Lwów, Year: 1876  
218752. Place: Ratyzbona, Year: 1582  
184443. Place: -, Year: -  
79035. Place: Supraśl, Year: 1796
156622. Place: -, Year: -
165452. Place: Bruzewice, Year: 1715
212619. Place: -, Year: -
97240. Place: -, Year: -
17194. Place: -, Year: -
171369. Place: -, Year: -
93677. Place: -, Year: -
169645. Place: -, Year: -
127516. Place: Wenecja, Year: 1574
124539. Place: -, Year: -
211269. Place: -, Year: -
47272. Place: -, Year: -
41114. Place: Lwów, Year: 1900
6538. Place: -, Year: -
124572. Place: -, Year: -
214858. Place: Lublin, Year: 1785
213586. Place: Zamość, Year: 1698
25912. Place: -, Year: -
145534. Place: Warszawa, Year: 1798
80683. Place: Paryż, Year: 1835
173883. Place: -, Year: 1700
209658. Place: -, Year: -
33855. Place: Lwów, Year: 1885
11099. Place: -, Year: -
18126. Place: Cölln, Year: 1596
79662. Place: Cieszyn, Year: 1899
164104. Place: -, Year: -
152208. Place: -, Year: -
209125. Place: Gdańsk, Year: 1758
46671. Place: Warszawa, Year: 1887
111574. Place: -, Year: -
93743. Place: Paryż, Year: 1858
108200. Place: -, Year: -
88415. Place: Poznań, Year: -
178534. Place: -, Year: 1648
149012. Place: Padwa, Year: 1641
194438. Place: -, Year: 1782
158144. Place: Gdańsk, Year: 1664
34458. Place: Kraków, Year: 1896
3239. Place: -, Year: -
168669. Place: -, Year: -
205312. Place: -, Year: -
17570. Place: Połock, Year: 1788
87458. Place: -, Year: -
56701. Place: -, Year: -
16373. Place: -, Year: -
61024. Place: -, Year: -
74204. Place: Warszawa, Year: 1883
95465. Place: Mogilew, Year: 1889
131420. Place: -, Year: -
26742. Place: Lwów, Year: 1898  
139781. Place: -, Year: -  
193913. Place: -, Year: -  
59629. Place: Warszawa, Year: 1630  
125939. Place: Praga, Year: 1562  
61497. Place: -, Year: -  
66011. Place: Jelenia Góra, Year: 1803  
188075. Place: -, Year: -  
102433. Place: -, Year: -  
31087. Place: -, Year: -  
60154. Place: -, Year: -  
42238. Place: -, Year: -  
18487. Place: Gdańsk, Year: 1729  
187847. Place: -, Year: -  
11643. Place: Kraków, Year: 1869  
103589. Place: -, Year: -  
200743. Place: Zamość, Year: 1775  
54156. Place: -, Year: -  
201174. Place: -, Year: -  
49715. Place: -, Year: 1714  
38346. Place: Drohobycz, Year: 1897  
190442. Place: -, Year: -  
112152. Place: -, Year: -  
47989. Place: Warszawa, Year: 1877  
124021. Place: Strasburg, Year: 1600  
159955. Place: Antwerpia, Year: 1611  
206927. Place: -, Year: 1791  
211691. Place: Kraków, Year: 1760  
65868. Place: Poznań, Year: 1884  
79110. Place: Lwów, Year: 1792  
47658. Place: -, Year: -  
82440. Place: -, Year: -  
107704. Place: Kazan, Year: 1842  
220434. Place: -, Year: -  
56960. Place: -, Year: -  
119500. Place: Florencja, Year: 1646  
18779. Place: -, Year: -  
80314. Place: Lwów, Year: 1870  
220871. Place: -, Year: -  
53608. Place: -, Year: -  
149220. Place: Przemyśl, Year: 1786  
57067. Place: -, Year: -  
155936. Place: -, Year: -  
26827. Place: -, Year: -  
106628. Place: -, Year: -  
220026. Place: -, Year: 1758  
61927. Place: -, Year: -  
176838. Place: -, Year: -  
192730. Place: -, Year: -  
193875. Place: Kraków, Year: 1667
140278. Place: -, Year: -
145601. Place: Kraków, Year: 1607
164502. Place: -, Year: -
19093. Place: Wilno, Year: 1641
59012. Place: -, Year: -
87966. Place: Kraków, Year: 1886
25255. Place: Poznań, Year: 1801
11491. Place: Warszawa, Year: 1842
59093. Place: -, Year: -
176771. Place: -, Year: -
152455. Place: -, Year: 1776
138812. Place: -, Year: -
58969. Place: Rostok, Year: 1659
115072. Place: Augsburg, Year: -
42325. Place: Wrocław, Year: 1809
71182. Place: -, Year: -
81724. Place: Kraków, Year: 1896
103757. Place: Warszawa, Year: 1851
199339. Place: -, Year: -
6439. Place: Kraków, Year: 1892
57776. Place: Kraków, Year: 1731
9347. Place: -, Year: -
214422. Place: -, Year: -
185597. Place: -, Year: 1705
155070. Place: -, Year: 1786
118545. Place: Gdańsk, Year: -
59961. Place: Kielce, Year: 1898
64495. Place: Paryż, Year: 1853
167556. Place: -, Year: -
195946. Place: Kraków, Year: 1583
109389. Place: Cieszyn, Year: 1879
57053. Place: -, Year: -
117188. Place: Wrocław, Year: 1670
171724. Place: -, Year: -
9498. Place: -, Year: -
200486. Place: -, Year: 1763
199932. Place: Lwów, Year: 1748
113036. Place: Lwów, Year: 1874
208477. Place: -, Year: 1791
176404. Place: -, Year: -
170. Place: Leiden, Year: 1596
151233. Place: Gdańsk, Year: -
127381. Place: Amsterdam, Year: 1742
210851. Place: -, Year: -
222626. Place: -, Year: -
100819. Place: -, Year: -
151019. Place: Lwów, Year: 1770
17911. Place: -, Year: -
114104. Place: Warszawa, Year: 1781
56560. Place: -, Year: -
64521. Place: -, Year: -
175967. Place: Kraków, Year: 1683
81983. Place: -, Year: -
193838. Place: -, Year: -
45435. Place: Lwów, Year: 1799
106120. Place: Kraków, Year: 1890
204357. Place: -, Year: -
129283. Place: -, Year: -
21082. Place: Poznań, Year: 1837
96480. Place: Poznań, Year: 1840
83085. Place: -, Year: 1887
117303. Place: -, Year: -
88798. Place: -, Year: -
64046. Place: -, Year: -
193535. Place: -, Year: 1724
7057. Place: Wiedeń, Year: 1860
126803. Place: Braniewo, Year: 1626
168282. Place: -, Year: -
84236. Place: Czernowitz, Year: 1896
96769. Place: Poznań, Year: 1891
106095. Place: -, Year: -
132473. Place: -, Year: -
73189. Place: Wiedeń, Year: 1850
217408. Place: Gdańsk, Year: 1635
166574. Place: -, Year: -
150659. Place: -, Year: -
163503. Place: -, Year: -
108987. Place: -, Year: -
200859. Place: -, Year: 1799
26752. Place: -, Year: -
2721. Place: Warszawa, Year: 1771
68912. Place: -, Year: -
13042. Place: -, Year: -
89179. Place: Poznań, Year: 1870
66902. Place: Legnica, Year: 1832
102191. Place: -, Year: -
58501. Place: -, Year: -
178845. Place: Warszawa, Year: 1775
133872. Place: -, Year: -
220214. Place: Bazylea, Year: 1618
77514. Place: Wrocław, Year: 1821
208992. Place: Warszawa, Year: 1776
129027. Place: -, Year: -
194722. Place: Warszawa, Year: 1680
52863. Place: -, Year: -
179706. Place: Warszawa, Year: 1775
73433. Place: -, Year: -
19374. Place: Warszawa, Year: 1788
29476. Place: -, Year: -
132025. Place: Warszawa, Year: -
102840. Place: -, Year: -
124081. Place: Kraków, Year: 1552
6066. Place: -, Year: -
98147. Place: Poznań, Year: 1886
201738. Place: Poznań, Year: 1740
105719. Place: -, Year: -
64585. Place: -, Year: -
194230. Place: Paris, Year: 1669
8978. Place: -, Year: -
214726. Place: -, Year: -
62153. Place: -, Year: -
209143. Place: Warszawa, Year: 1738
74832. Place: Stockholm, Year: 1657
44471. Place: -, Year: -
167128. Place: Lublin, Year: 1770
173023. Place: -, Year: -
148351. Place: Wenecja, Year: 1730
48545. Place: -, Year: -
89789. Place: -, Year: -
199581. Place: Kraków, Year: 1593
222324. Place: -, Year: -
67542. Place: -, Year: -
203040. Place: -, Year: -
50075. Place: Greifswald, Year: 1824
855. Place: -, Year: -
94752. Place: -, Year: -
54045. Place: -, Year: -
29456. Place: -, Year: -
212298. Place: Warszawa, Year: 1783
63163. Place: Warszawa, Year: 1829
42252. Place: Lipsk, Year: 1813
70059. Place: -, Year: -
87703. Place: Warszawa, Year: 1881
162611. Place: -, Year: -
199823. Place: -, Year: 1754
143403. Place: -, Year: -
35133. Place: -, Year: -
145737. Place: -, Year: -
20647. Place: -, Year: -
194687. Place: -, Year: 1774
193101. Place: Toruń, Year: 1669
111338. Place: -, Year: -
187570. Place: Warszawa, Year: 1729
168139. Place: -, Year: 1786
74729. Place: -, Year: 1657
19986. Place: -, Year: -
221012. Place: -, Year: -
117683. Place: Kraków, Year: 1569
153692. Place: -, Year: -
215448. Place: Gdańsk, Year: 1645  
61409. Place: Wrocław, Year: 1503  
123885. Place: Kraków, Year: 1515  
156309. Place: Augsburg, Year: 1748  
132885. Place: Amsterdam, Year: 1657  
124030. Place: Kraków, Year: -  
184411. Place: -, Year: -  
154951. Place: Ryga, Year: 1719  
129066. Place: Frankfurt, Year: 1617  
13149. Place: -, Year: -  
132721. Place: Kraków, Year: 1667  
11524. Place: Bruksela, Year: 1854  
107670. Place: -, Year: -  
125252. Place: -, Year: -  
17348. Place: Kraków, Year: -  
110587. Place: Kraków, Year: 1898  
160963. Place: Gdańsk, Year: 1678  
11980. Place: Kraków, Year: 1889  
1896. Place: -, Year: -  
81669. Place: Warszawa, Year: 1881  
45996. Place: -, Year: -  
104767. Place: Bojanowo, Year: 1896  
74804. Place: -, Year: 1763  
213896. Place: Warszawa, Year: 1739  
20336. Place: Lwów, Year: 1898  
162394. Place: Gdańsk, Year: 1678  
69876. Place: -, Year: -  
16599. Place: Paryż, Year: 1834  
126138. Place: -, Year: 1636  
97755. Place: -, Year: -  
2010. Place: Warszawa, Year: 1669  
159696. Place: Kijów, Year: 1705  
